job_position_id,ref_requested_at,ref_requested_date,ref_completed_at,ref_completed_date,ref_approved_at,ref_approved_date,is_mandatory,ref_package_name,ref_form_name,cr_created_at,marked_compliant_at,requested_to_completed_time,completed_to_reviewed_time,requested_to_reviewed_time,requested_to_compliant_time,ref_status,ref_approval_status,requested_to_completed_days,completed_to_reviewed_days,requested_to_reviewed_days,requested_to_compliant_days,requested_to_completed_category,completed_to_reviewed_category,requested_to_reviewed_category,requested_to_compliant_category
14810,2024-05-13 10:45:05.771000,2024-05-13,2024-05-13 10:57:47.869000,2024-05-13,2024-05-13 11:08:49.741000,2024-05-13,true,Exxxtended package,New form,2024-01-10 09:28:07.646000,2024-05-13 11:08:50.179000,762.098,661.872,1423.97,1424.408,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
14810,2024-03-15 08:15:06.919000,2024-03-15,2024-03-15 08:16:01.454000,2024-03-15,,,true,Exxxtended package,New form,,,54.535,,,5108023.26,AWAITING_APPROVAL,Submitted,1,,,60,Low,,,High
12677,2024-01-24 08:55:19.116000,2024-01-24,2024-01-24 08:56:26.045000,2024-01-24,,,true,test expiry,test expiry,,,66.929,,,-4874.893,AWAITING_APPROVAL,Submitted,1,,,0,Low,,,Low
13440,2024-02-01 15:16:35.195000,2024-02-01,,,,,true,Qwww,test,,,,,,-18208.559,SENT,Requested,,,,0,,,,Low
13440,2024-02-01 14:48:00.100000,2024-02-01,,,,,true,Qwww,test,,,,,,-16493.464,SENT,Requested,,,,0,,,,Low
13440,2024-02-01 09:39:10.315000,2024-02-01,2024-02-01 09:39:30.949000,2024-02-01,,,true,Qwww,test,,,20.634,,,2036.321,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
14891,2024-09-24 19:43:00.222000,2024-09-24,2024-09-24 19:43:48.508000,2024-09-24,2024-09-24 19:44:27.171000,2024-09-24,true,Administrator Pack,Brand-new Reference Form,2024-02-02 09:35:36.398000,2024-09-24 19:44:27.392000,48.286,38.663,86.949,87.17,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
8963,2025-03-13 16:35:56.634000,2025-03-13,2025-03-13 16:36:30.796000,2025-03-13,2025-03-13 16:42:24.975000,2025-03-13,true,11Test,asfasf,2024-02-05 07:28:48.953000,2025-03-13 16:42:25.117000,34.162,354.179,388.341,388.483,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
8963,2025-03-13 16:26:07.535000,2025-03-13,2025-03-13 16:27:36.850000,2025-03-13,2025-03-13 16:42:18.120000,2025-03-13,true,11Test,asfasf,2024-02-05 07:28:48.953000,2025-03-13 16:42:25.117000,89.315,881.27,970.585,977.582,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
8963,2025-03-13 16:34:56.057000,2025-03-13,2025-03-13 16:35:29.448000,2025-03-13,2025-03-13 16:42:21.713000,2025-03-13,true,11Test,asfasf,2024-02-05 07:28:48.953000,2025-03-13 16:42:25.117000,33.391,412.265,445.656,449.06,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
12942,2023-12-20 12:51:19.725000,2023-12-20,2023-12-20 12:57:56.908000,2023-12-20,2025-02-10 13:15:28.768000,2025-02-10,true,11Test,asfasf,2024-02-05 07:28:50.902000,2025-02-10 13:13:07.897000,397.183,36116251.86,36116649.043,36116508.172,APPROVED,Approved,1,419,419,419,Low,High,High,High
12942,2023-12-20 13:01:09.874000,2023-12-20,2023-12-20 13:03:50.347000,2023-12-20,2023-12-20 13:04:57.222000,2023-12-20,true,11Test,asfasf,2024-02-05 07:28:50.902000,2025-02-10 13:13:07.897000,160.473,66.875,227.348,36115918.023,APPROVED,Approved,1,1,1,419,Low,Low,Low,High
12942,2024-09-09 12:08:53.378000,2024-09-09,,,,,true,11Test,asfasf,,,,,,13309454.519,EMAIL_BOUNCED,Requested,,,,155,,,,High
12942,2024-01-29 14:43:56.863000,2024-01-29,2024-01-29 14:45:40.005000,2024-01-29,2024-01-29 14:53:24.490000,2024-01-29,true,11Test,asfasf,2024-02-05 07:28:50.902000,2025-02-10 13:13:07.897000,103.142,464.485,567.627,32653751.034,APPROVED,Approved,1,1,1,378,Low,Low,Low,High
10710,2024-02-06 09:55:03.028000,2024-02-06,2024-02-06 09:55:43.494000,2024-02-06,2024-02-06 09:56:12.899000,2024-02-06,true,expiring reference form,Doctor Reference Form,,,40.466,29.405,69.871,-6441.249,EXPIRED,Approved,1,1,1,0,Low,Low,Low,Low
10710,2024-02-06 08:08:03.931000,2024-02-06,2024-02-06 08:09:01.674000,2024-02-06,2024-02-06 08:10:28.703000,2024-02-06,true,expiring reference form,Doctor Reference Form,,,57.743,87.029,144.772,-22.152,EXPIRED,Approved,1,1,1,0,Low,Low,Low,Low
10632,2024-04-03 14:06:06.709000,2024-04-03,2024-04-03 14:06:34.122000,2024-04-03,2024-04-03 14:25:44.507000,2024-04-03,true,TEST REFERENCE FOR TAG PACKAGE,TEST REFERENCE FOR TAG,2024-02-06 13:16:03.006000,2024-04-03 13:52:56.510000,27.413,1150.385,1177.798,-790.199,APPROVED,Approved,1,1,1,0,Low,Low,Low,Low
10632,2024-04-03 13:58:18.525000,2024-04-03,2024-04-03 13:58:42.429000,2024-04-03,2024-04-03 14:00:45.761000,2024-04-03,true,TEST REFERENCE FOR TAG PACKAGE,TEST REFERENCE FOR TAG,2024-02-06 13:16:03.006000,2024-04-03 13:52:56.510000,23.904,123.332,147.236,-322.015,APPROVED,Approved,1,1,1,0,Low,Low,Low,Low
10632,2024-04-03 13:51:32.568000,2024-04-03,2024-04-03 13:52:04.961000,2024-04-03,2024-04-03 13:52:56.398000,2024-04-03,true,TEST REFERENCE FOR TAG PACKAGE,TEST REFERENCE FOR TAG,2024-02-06 13:16:03.006000,2024-04-03 13:52:56.510000,32.393,51.437,83.83,83.942,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
8623,2024-03-04 13:46:54.611000,2024-03-04,2024-03-04 13:47:21.064000,2024-03-04,2024-03-04 16:19:58.942000,2024-03-04,true,TEST REFERENCE FOR TAG PACKAGE,TEST REFERENCE FOR TAG,2024-02-07 09:52:03.054000,2024-03-04 16:20:14.470000,26.453,9157.878,9184.331,9199.859,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
14959,2024-06-14 13:53:46.720000,2024-06-14,,,,,true,Exxxtended package,New form,,,,,,63.69,SENT,Requested,,,,1,,,,Low
14056,2024-10-02 14:13:42.539000,2024-10-02,2024-10-15 07:05:12.451000,2024-10-15,,,true,Nursys and references,@@,,,1097489.912,,,-10803353.363,AWAITING_APPROVAL,Submitted,13,,,-125,High,,,Low
14056,2024-09-30 12:57:39.187000,2024-09-30,2024-10-01 08:29:11.239000,2024-10-01,,,true,Nursys and references,@@,,,70292.052,,,-10625990.011,AWAITING_APPROVAL,Submitted,1,,,-122,Low,,,Low
15613,2024-06-12 15:04:43.383000,2024-06-12,,,,,true,GP requirements,Simple Form,,,,,,-3801.782,SENT,Requested,,,,0,,,,Low
15613,2024-06-12 14:24:43.055000,2024-06-12,2024-06-17 08:14:07.115000,2024-06-17,,,true,GP requirements,Simple Form,,,409764.06,,,-1401.454,AWAITING_APPROVAL,Submitted,5,,,0,High,,,Low
15613,2024-06-12 13:34:45.713000,2024-06-12,2024-06-12 13:47:27.384000,2024-06-12,2024-06-12 14:02:14.330000,2024-06-12,true,GP requirements,Simple Form,2024-06-12 13:28:58.267000,2024-06-12 14:01:21.601000,761.671,886.946,1648.617,1595.888,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
15613,2024-06-17 08:11:00.088000,2024-06-17,,,,,true,GP requirements,Simple Form,,,,,,-410978.487,SENT,Requested,,,,-4,,,,Low
15796,2024-06-27 17:33:52.644000,2024-06-27,2024-06-27 17:39:13.778000,2024-06-27,,,true,Candidate avg test,Candidate test avg,,,321.134,,,-16555.496,AWAITING_APPROVAL,Submitted,1,,,0,Low,,,Low
15796,2024-06-27 12:41:56.654000,2024-06-27,2024-06-27 12:53:34.854000,2024-06-27,2024-06-27 12:57:56.984000,2024-06-27,true,Candidate avg test,Candidate test avg,2024-06-27 08:46:49.678000,2024-06-27 12:57:57.148000,698.2,262.13,960.33,960.494,APPROVED,Approved,1,1,1,1,Low,Low,Low,Low
16575,2024-12-23 15:53:27.347000,2024-12-23,2024-12-23 15:54:46.112000,2024-12-23,,,true,Exxxtended package,New form,,,78.765,,,-1303.22,AWAITING_APPROVAL,Submitted,1,,,0,Low,,,Low
16575,2024-12-23 14:53:47.579000,2024-12-23,2024-12-23 14:56:10.207000,2024-12-23,,,true,Exxxtended package,New form,,,142.628,,,2276.548,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
16575,2024-12-23 14:42:52.277000,2024-12-23,2024-12-23 14:44:29.967000,2024-12-23,,,true,Exxxtended package,New form,,,97.69,,,2931.85,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
16575,2024-12-23 14:34:43.326000,2024-12-23,2024-12-23 14:36:05.771000,2024-12-23,,,true,Exxxtended package,New form,,,82.445,,,3420.801,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
16575,2024-12-23 14:10:53.939000,2024-12-23,2024-12-23 14:12:08.465000,2024-12-23,2024-12-23 15:30:16.310000,2024-12-23,true,Exxxtended package,New form,,,74.526,4687.845,4762.371,4850.188,EXPIRED,Approved,1,1,1,1,Low,Low,Low,Low
16575,2024-12-23 14:04:31.246000,2024-12-23,2024-12-23 14:06:02.897000,2024-12-23,,,true,Exxxtended package,New form,,,91.651,,,5232.881,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
16575,2024-12-23 14:02:40.244000,2024-12-23,2024-12-23 14:03:28.504000,2024-12-23,,,true,Exxxtended package,New form,,,48.26,,,5343.883,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
15612,2025-01-22 13:56:08.674000,2025-01-22,2025-01-22 13:57:02.703000,2025-01-22,2025-03-13 07:34:36.938000,2025-03-13,true,GP requirements,Simple Form,2024-09-10 06:44:44.937000,2025-03-13 07:33:53.850000,54.029,4297054.235,4297108.264,4297065.176,APPROVED,Approved,1,50,50,50,Low,High,High,High
14104,2024-11-20 10:50:15.191000,2024-11-20,2024-11-20 10:51:03.707000,2024-11-20,,,true,Common,Doctor Reference Form,,,48.516,,,6849534.269,AWAITING_APPROVAL,Submitted,1,,,80,Low,,,High
14104,2024-12-03 15:31:01.048000,2024-12-03,2024-12-23 10:52:48.128000,2024-12-23,,,true,Common,Doctor Reference Form,,,1711307.08,,,5709488.412,AWAITING_APPROVAL,Submitted,20,,,67,High,,,High
14104,2024-12-03 15:29:19.481000,2024-12-03,2024-12-03 15:30:21.992000,2024-12-03,,,true,Common,Doctor Reference Form,,,62.511,,,5709589.979,AWAITING_APPROVAL,Submitted,1,,,67,Low,,,High
14104,2024-11-20 10:46:34.467000,2024-11-20,,,,,true,Common,Doctor Reference Form,,,,,,6849754.993,EMAIL_BOUNCED,Requested,,,,80,,,,High
14104,2024-12-23 10:46:04.660000,2024-12-23,2024-12-23 10:47:05.750000,2024-12-23,2025-02-07 17:29:09.171000,2025-02-07,true,Common,Doctor Reference Form,2024-10-03 09:50:43.965000,2025-02-07 17:29:09.460000,61.09,3998523.421,3998584.511,3998584.8,APPROVED,Approved,1,47,47,47,Low,High,High,High
18265,2024-10-30 12:14:02.402000,2024-10-30,,,,,true,reference-dates-sort-cr-1,reference-1,,,,,,1057193.428,EMAIL_BOUNCED,Requested,,,,13,,,,High
18265,2024-10-30 12:13:37.683000,2024-10-30,,,,,true,reference-dates-sort-cr-1,reference-1,,,,,,1057218.147,SENT,Requested,,,,13,,,,High
18265,2024-11-11 17:54:06.079000,2024-11-11,,,,,true,reference-dates-sort-cr-1,reference-1,,,,,,-10.249,SENT,Requested,,,,0,,,,Low
14125,2025-03-20 13:25:34.623000,2025-03-20,2025-03-20 13:40:07.359000,2025-03-20,,,true,sample,Reference form,,,872.736,,,1302.415,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
14125,2025-03-20 13:25:19.755000,2025-03-20,2025-03-20 13:27:04.349000,2025-03-20,2025-03-20 13:44:19.086000,2025-03-20,true,sample,Reference form,,,104.594,1034.737,1139.331,1317.283,DENIED,Declined,1,1,1,1,Low,Low,Low,Low
14125,2025-03-20 13:25:09.291000,2025-03-20,2025-03-20 13:38:42.248000,2025-03-20,,,true,sample,Reference form,,,812.957,,,1327.747,AWAITING_APPROVAL,Submitted,1,,,1,Low,,,Low
15369,2024-09-04 15:20:26.947000,2024-09-04,2024-09-04 15:21:18.481000,2024-09-04,,,false,,Yury,,,51.534,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
3030,2019-10-15 09:16:35.249000,2019-10-15,,,,,false,,Advanced Nurse Practitionerr Reference Form,,,,,,,SENT,Requested,,,,,,,,
3030,2019-10-15 09:15:07.798000,2019-10-15,,,,,false,,Advanced Nurse Practitionerr Reference Form,,,,,,,SENT,Requested,,,,,,,,
3030,2019-09-24 11:41:30.964000,2019-09-24,,,,,false,,Advanced Nurse Practitionerr Reference Form,,,,,,,EMAIL_BOUNCED,Requested,,,,,,,,
3030,2019-09-24 10:06:46.705000,2019-09-24,2019-09-24 10:13:44.224000,2019-09-24,,,false,,Advanced Nurse Practitionerr Reference Form,,,417.519,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
3030,2019-09-24 10:28:55.689000,2019-09-24,,,,,false,,Advanced Nurse Practitionerr Reference Form,,,,,,,OPENED,Requested,,,,,,,,
3030,2019-09-24 10:27:05.788000,2019-09-24,2019-09-24 10:27:24.608000,2019-09-24,,,false,,Advanced Nurse Practitionerr Reference Form,,,18.82,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
3030,2019-09-24 11:38:19.119000,2019-09-24,2019-09-24 11:39:24.338000,2019-09-24,,,false,,Advanced Nurse Practitionerr Reference Form,,,65.219,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
1744,2019-04-22 08:18:51.080000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,EMAIL_BOUNCED,Requested,,,,,,,,
1744,2019-04-22 08:18:51.065000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,OPENED,Requested,,,,,,,,
1744,2019-04-22 08:18:51.063000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,EMAIL_BOUNCED,Requested,,,,,,,,
1744,2019-04-22 08:18:51.061000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,SENT,Requested,,,,,,,,
1744,2019-04-22 08:18:51.081000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,SENT,Requested,,,,,,,,
1744,2019-04-22 08:18:51.066000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,SENT,Requested,,,,,,,,
1744,2019-04-22 08:18:51.096000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,SENT,Requested,,,,,,,,
1744,2019-04-22 08:18:51.082000,2019-04-22,,,,,false,,Care Teamer Reference Form,,,,,,,SENT,Requested,,,,,,,,
1744,2019-04-22 08:18:51.083000,2019-04-22,2019-04-26 10:44:23.360000,2019-04-26,2019-07-15 10:16:51.533000,2019-07-15,false,,Care Teamer Reference Form,,,354332.277,6910348.173,7264680.45,,APPROVED,Approved,5,80,85,,High,High,High,
1676,2019-04-17 12:52:00.624000,2019-04-17,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
4722,2020-02-04 15:44:02.235000,2020-02-04,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
4722,2020-02-04 15:36:43.371000,2020-02-04,2020-02-04 15:40:48.532000,2020-02-04,,,false,,Doctor Reference Form,,,245.161,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
18264,2024-10-30 12:03:10.407000,2024-10-30,2024-10-30 12:03:50.539000,2024-10-30,,,false,,reference-1,,,40.132,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
18264,2024-10-30 12:00:28.822000,2024-10-30,2024-10-30 12:01:15.653000,2024-10-30,,,false,,reference-1,,,46.831,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
3868,2024-08-20 12:28:18.500000,2024-08-20,,,,,false,,@@@,,,,,,,SENT,Requested,,,,,,,,
1666,2019-04-17 12:24:14.250000,2019-04-17,,,,,false,,Nurse Reference Form,,,,,,,OPENED,Requested,,,,,,,,
2543,2019-07-15 10:33:26.703000,2019-07-15,,,,,false,,Doctor Reference Form,,,,,,,EMAIL_BOUNCED,Requested,,,,,,,,
2543,2019-08-20 09:55:28.060000,2019-08-20,2019-08-20 09:56:32.338000,2019-08-20,,,false,,Doctor Reference Form,,,64.278,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
238,2019-06-13 23:00:56.331000,2019-06-13,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
238,2019-06-12 21:32:22.330000,2019-06-12,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
238,2019-05-15 14:23:50.368000,2019-05-15,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
238,2019-06-12 13:50:39.378000,2019-06-12,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
238,2019-04-30 13:02:16.145000,2019-04-30,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
238,2019-04-30 13:01:16.027000,2019-04-30,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
238,2019-05-20 09:49:04.146000,2019-05-20,2019-05-20 09:59:40.157000,2019-05-20,,,false,,Doctor Reference Form,,,636.011,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
11199,2023-02-21 11:19:26.926000,2023-02-21,2023-02-21 11:20:15.134000,2023-02-21,,,false,,Doctor Reference Form,,,48.208,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
2636,2019-08-01 14:56:09.945000,2019-08-01,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
2636,2019-08-01 14:56:09.941000,2019-08-01,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
1659,2019-04-17 13:19:41.234000,2019-04-17,2019-04-17 13:20:25.690000,2019-04-17,2019-04-17 14:37:18.801000,2019-04-17,false,,Doctor Reference Form,,,44.456,4613.111,4657.567,,DENIED,Declined,1,1,1,,Low,Low,Low,
1627,2019-04-15 12:51:04.054000,2019-04-15,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
1627,2019-04-15 12:51:04.056000,2019-04-15,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
836,2019-09-23 10:53:24.152000,2019-09-23,,,,,false,,Doctor Reference Form,,,,,,,OPENED,Requested,,,,,,,,
3065,2020-04-04 11:10:12.744000,2020-04-04,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
3769,2019-10-04 10:42:05.311000,2019-10-04,2019-10-04 10:55:03.780000,2019-10-04,,,false,,Nurse Reference Form,,,778.469,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
3013,2020-11-20 14:57:07.438000,2020-11-20,,,,,false,,Advanced Nurse Practitionerr Reference Form,,,,,,,SENT,Requested,,,,,,,,
2409,2019-07-12 09:10:33.578000,2019-07-12,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
2409,2019-07-12 09:10:33.568000,2019-07-12,,,,,false,,Doctor Reference Form,,,,,,,EMAIL_BOUNCED,Requested,,,,,,,,
887,2018-12-03 08:41:56.777000,2018-12-03,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
887,2018-12-03 08:41:56.774000,2018-12-03,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
887,2018-12-03 08:41:56.770000,2018-12-03,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
2684,2019-07-18 07:16:58.356000,2019-07-18,,,,,false,,Non-Clinical Reference Form,,,,,,,SENT,Requested,,,,,,,,
1662,2019-04-16 11:04:56.802000,2019-04-16,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
1628,2019-04-15 13:38:55.557000,2019-04-15,,,,,false,,Therapist 123 Reference Form,,,,,,,SENT,Requested,,,,,,,,
1628,2019-04-15 13:38:55.556000,2019-04-15,,,,,false,,Therapist 123 Reference Form,,,,,,,SENT,Requested,,,,,,,,
1628,2019-04-15 13:38:55.554000,2019-04-15,,,,,false,,Therapist 123 Reference Form,,,,,,,SENT,Requested,,,,,,,,
1628,2019-04-15 13:38:55.552000,2019-04-15,,,,,false,,Therapist 123 Reference Form,,,,,,,SENT,Requested,,,,,,,,
3028,2022-02-21 12:28:15.321000,2022-02-21,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
1628,2019-04-15 13:38:55.550000,2019-04-15,2019-04-15 13:42:09.522000,2019-04-15,,,false,,Therapist 123 Reference Form,,,193.972,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
1674,2019-04-17 10:35:19.702000,2019-04-17,2019-04-17 10:38:28.083000,2019-04-17,,,false,,Doctor Reference Form,,,188.381,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
15058,2025-01-16 13:54:00.214000,2025-01-16,2025-01-16 13:55:03.059000,2025-01-16,,,false,,New form,,,62.845,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
15058,2025-01-31 17:59:09.349000,2025-01-31,,,,,false,,New form,,,,,,,SENT,Requested,,,,,,,,
3682,2019-10-01 07:19:39.506000,2019-10-01,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
3682,2019-10-01 07:19:39.502000,2019-10-01,,,,,false,,Doctor Reference Form,,,,,,,SENT,Requested,,,,,,,,
15369,2024-09-03 10:08:06.056000,2024-09-03,2024-09-03 10:08:41.315000,2024-09-03,,,false,,111_AllTypesNew,,,35.259,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
15369,2024-09-03 10:05:32.022000,2024-09-03,2024-09-03 10:07:33.389000,2024-09-03,2024-09-06 10:24:57.869000,2024-09-06,false,,111_AllTypesNew,,,121.367,260244.48,260365.847,,APPROVED,Approved,1,4,4,,Low,High,High,
15369,2024-09-04 15:15:03.453000,2024-09-04,,,,,false,,111_AllTypesNew,,,,,,,SENT,Requested,,,,,,,,
5425,2020-03-18 12:27:22.155000,2020-03-18,2020-03-18 12:28:11.078000,2020-03-18,,,false,,Doctor Reference Form,,,48.923,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
5425,2020-03-18 12:38:28.324000,2020-03-18,2020-03-18 12:39:31.980000,2020-03-18,,,false,,Doctor Reference Form,,,63.656,,,,AWAITING_APPROVAL,Submitted,1,,,,Low,,,
